file_number,category,doc_type,order_date,fsa,url,extraction_method,all_amounts_found,fee_amounts_found,primary_amount,amount_type,matched_context,notes
LTB-L-105560-25,L4,ExParte Order,2026-01-06,M4K,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000qZXG7IAO/LTB-L-105560-25-EX(L4).pdf,text,"[4000.0, 400.0, 7200.0, 4000.0, 131.51, 4000.0, 12789.06, 131.51, 4000.0, 8789.06, 131.51, 12789.06, 131.51]",[7200.0],12789.06,arrears,"Landlord on or after January 18, 2026.  5. The Tenant shall pay to the Landlord >>>$12,789.06<<< (Less any payments made by the  Tenant after this application was filed on Dece",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-020877-26,L4,ExParte Order,2026-03-10,L6X,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vFzQaIAK/LTB-L-020877-26-EX -Signed.pdf,text,"[8986.0, 0.0, 2850.0, 91.13, 2772.0, 2869.68, 91.13, 0.0, 0.0, 2850.0, 19.68, 91.13, 2869.68, 91.13]",[8986.0],0.0,arrears,"Period  Amount  Amount owing from previous  order    Up to April 30, 2025     >>>$0.00<<<  New NSF cheque charges and  related administration charges    $0.00     Less t",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-000537-26,L4,ExParte Order,2026-01-12,L8V,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000rilw1IAA/LTB-L-000537-26-Signed.pdf,text,[],[],,,,no dollar amount found
LTB-L-011227-26,L4,ExParte Order,2026-02-13,N3T,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tocs4IAA/LTB-L-011227-26-EX.pdf,text,"[1208.58, 500.0, 5583.2, 4550.66, 1212.95, 39.73, 1208.58, 3853.29, 39.73, 4550.66, 516.49, 1212.95, 0.91, 39.73, 3853.29, 39.73]",[5583.2],4550.66,arrears,"Period  Amount  Amount owing from previous  order   Up to November 30, 2025     >>>$4,550.66<<<     New Arrears     February 1, 2026, to February  13, 2026     $516.49     Les",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-T-083516-25,T2,Order,2026-05-12,M4L,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zQEtvIAG/LTB-T-083516-25-HR.pdf,text,[],[],,,,no dollar amount found
LTB-T-070725-25,T2,Order,2026-04-13,L7E,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000xc7xqIAA/LTB-T-070725-25-FR.pdf,text,[],[],,,,no dollar amount found
LTB-T-061072-25,T2,Order,2026-04-16,N0J,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000y1l0sIAA/LTB-T-061072-25-EX- April 16 2026.pdf,text,[],[],,,,no dollar amount found
LTB-T-038587-23,T2,Order,2026-03-27,M6H,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000wa5atIAA/LTB-T-038587-23 & LTB-T-005642-26.pdf,text,"[1801.87, 200.0, 52.6, 1600.0, 236.7, 52.6, 244.78, 56.58, 1721.0, 1085.98, 52.6, 1322.67, 244.78, 244.78, 244.78, 186.42, 431.2, 6250.0, 1801.87, 1322.67, 431.2, 48.0]","[431.2, 48.0]",1801.87,stated_total,"It is ordered that:  1. The total amount the Landlord shall pay the Tenant is >>>$1,801.87<<<. This amount represents:   •  $1,322.67 for a rent abatement.  •  $431.20 for c","found in operative 'It is ordered that' section; explicit stated-total phrasing (""...is \$X"")"
LTB-T-049866-25,T2,Order,2026-01-07,L1G,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000qrn1RIAQ/LTB-T-049866-25 HR.pdf,text,[50.0],[],,,,"found in operative 'It is ordered that' section; only opposite-direction amount(s) found (money flowing the other way, likely a combined hearing) — no correctly-directed amount found; largest opposite-direction figure was \$50.00, excluded"
LTB-T-070146-24,T2,Order,2026-03-11,K9H,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vJatOIAS/LTB-T-070146-24-cert.pdf,text,[],[],,,,no dollar amount found
LTB-T-027406-25,T2,Order,2026-04-15,L8R,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000xVvT3IAK/LTB-T-027406-25-cert.pdf,text,[],[],,,,no dollar amount found
LTB-T-024537-25,T2,Order,2026-02-05,L6X,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tAqX9IAK/LTB-T-024537-25 HR.pdf,text,[],[],,,,no dollar amount found
LTB-T-076473-25,T2,Order,2026-05-11,M4Y,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zIhY1IAK/LTB-T-076472-25; LTB-T-076473-25- May 11 2026.pdf,text,[],[],,,,no dollar amount found
LTB-T-025800-25,T2,Order,2026-03-06,K0H,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000upORRIA2/LTB-T-025800-25-HR.pdf,text,[],[],,,,no dollar amount found
LTB-T-072088-25,T6,Order,2026-03-05,L3C,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000ulLlZIAU/LTB-T-072088-25-HR - March 5 2026.pdf,text,[],[],,,,no dollar amount found
LTB-T-070026-25,T6,Order,2026-01-13,P7B,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000rwyzpIAA/LTB-L-084697-25-HR - January 13 2026.pdf,text,"[1025.0, 33.7, 1025.0, 6150.0, 186.0, 33.7]",[],,,,operative section found but contained only fee/rate/boilerplate amounts — likely no lump sum ordered
LTB-T-058065-22,T6,Order,2026-03-05,K9A,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000v0wJPIAY/LTB-T-058065-22-HR Order_CERT.pdf,text,"[2509.71, 1425.0, 723.82, 1442.1, 327.14, 1442.1, 170.68, 1221.64, 723.82, 327.14, 170.68, 1442.1, 1235.07, 2509.71, 2456.71, 53.0, 418.28, 418.31]","[2509.71, 2456.71, 53.0]",2509.71,stated_total,"It is ordered that:  1. The Landlord shall pay the Tenant is >>>$2,509.71<<< This amount represents:   •  $2,456.71 for a total rent abatement.  •  $53.00 f","found in operative 'It is ordered that' section; explicit stated-total phrasing (""...is \$X"")"
LTB-T-010281-25,T6,Order,2026-03-23,L8L,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000w1JC7IAM/LTB-T-010281-25-HR.pdf,text,[],[],,,,no dollar amount found
LTB-T-088629-25,T6,Order,2026-05-29,N1R,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N3000010gXzzIAE/LTB-T-088629-25-HR.pdf,text,[1630.0],[],1630.0,other,"It is ordered on consent that:  1. The Landlord shall pay the Tenant >>>$1,630.00<<< in full and final satisfaction of the Tenant’s  application.    2. The amount o","found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-T-032033-24,T6,Order,2026-02-02,N6B,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tBSaqIAG/LTB-L-079276-23-HR.pdf,text,"[2486.0, 4011.48, 169.5, 508.5, 678.0, 3390.0, 50.0, 50.0, 50.0, 804.6, 1206.9, 824.7, 825.3, 2804.58, 4011.48, 2486.0, 4011.48, 1525.48]",[],4011.48,ambiguous-max,"amount owing by the Landlords to the Tenants.  3. The Landlords owe the Tenants >>>$4,011.48<<< for a rent abatement.  This amount shall be  reduced by the amount owing by the","found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-T-075767-25,T6,Order,2026-03-12,N6K,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vMtyBIAS/LTB-T-075767-25-HR - March 12 2026.pdf,text,[],[],,,,no dollar amount found
LTB-T-017890-25,T6,Order,2026-05-15,L8L,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zbBeIIAU/LTB-T-017890-25-HR - May 15 2026.pdf,text,[600.0],[],600.0,other,it is ordered that:  1. The Landlord shall pay the Tenants >>>$600.00<<< via e-transfer to rm24david@gmail.com.  This  amount represents a full and fina,"found in operative 'It is ordered that' section; single candidate amount, no strong keyword match"
LTB-T-061995-24,T6,Order,2026-01-14,K2T,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000sDz6hIAC/LTB-T-061995-24-HR - January 14 2026.doc.pdf,text,[2400.0],[],2400.0,other,"ome on February 1, 2023 and  moved out on December 7, 2023. The lawful rent was >>>$2,400.00<<<.  3. The Tenants filed their T6 application with the LTB on August 1, 2024 alle","no operative section found, or it had no dollar mentions at all; fell back to full-document search; single candidate amount, no strong keyword match"
LTB-T-072769-25,T6,Order,2026-04-01,L1P,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000wsdREIAY/LTB-T-072769-25-hr.pdf,text,[],[],,,,no dollar amount found
LTB-T-057463-25,T1,Order,2026-04-14,P7A,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000xNHKkIAO/LTB-T-057463-25_HR.pdf,text,"[1800.0, 1800.0, 1000.0, 800.0, 1800.0, 79.53, 53.0, 1932.53, 1800.0, 53.0, 1932.53]",[],1932.53,stated_total,"It is ordered that:  1. The total amount the Landlords shall pay the Tenants is >>>$1,932.53<<<. This amount  represents the return of the last month's rent deposit, the inter","found in operative 'It is ordered that' section; explicit stated-total phrasing (""...is \$X"")"
LTB-T-013716-25,T1,Order,2026-01-21,N3T,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000sYgnWIAS/LTB-T-013716-25-HR.pdf,text,"[1995.0, 500.0, 100.0, 75.0, 500.0, 5046.0, 5046.0, 186.0, 532.54, 150.0, 2500.0, 3000.0, 3000.0, 2046.0, 5046.0, 500.0, 100.0, 500.0, 100.0, 5046.0, 648.0, 648.0, 500.0, 100.0, 48.0]","[648.0, 648.0, 100.0, 48.0]",648.0,ambiguous-max,It is ordered that:  1. The Landlord will pay the Tenant >>>$648.00<<< which is calculated as follows:     File Number: LTB-T-013716-25  Order Page 5,"found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-T-007195-26,T1,Order,2026-05-20,K9J,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zqMitIAE/LTB-T-007195-26_HR-Cert.pdf,text,"[1150.0, 1150.0, 380.0, 380.0, 390.0]",[],1150.0,ambiguous-max,"it is ordered that:  1. The Landlord shall pay the Tenant >>>$1,150.00<<< in resolution of the claims contained in this  application.     2. The Landlord","found in operative 'It is ordered that' section; multiple candidate amounts, took max — manual review advised"
LTB-T-063478-25,T1,Order,2026-01-29,L9C,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000sp7RqIAI/LTB-T-063478-25-HR.pdf,text,[],[],,,,no dollar amount found
LTB-T-073026-25,T1,Order,2026-03-18,M5A,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vtDqEIAU/T1 LTB-T-073026-25-HR - DRO CAMPBELL DHM STAMPED.pdf,text,"[153.0, 100.0, 53.0]","[100.0, 53.0]",153.0,stated_total,red on consent that:  1. The total amount the Landlord shall pay the Tenants is >>>$153.00<<<. This amount represents:   •  $100.00 for a portion of the key deposit.  •  $53,"found in operative 'It is ordered that' section; explicit stated-total phrasing (""...is \$X"")"
LTB-T-019445-25,T1,Review Order,2026-03-16,K1E,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vdX4xIAE/LTB-T-019445-25-RV fre.pdf,text,[],[],,,,no dollar amount found
LTB-T-063970-25,T1,Order,2026-01-09,P3A,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000qwuIPIAY/LTB-T-063970-25_HR.pdf,text,[],[],,,,no dollar amount found
LTB-T-031847-25,T1,Order,2026-01-08,N1L,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000rYLd0IAG/LTB-T-031847-25-HR.pdf,text,"[500.0, 500.0, 500.0, 25.0, 548.0, 500.0, 48.0]","[500.0, 48.0]",548.0,stated_total,"It is ordered that:  1. The total amount the Landlord shall pay the Tenant is >>>$548.00<<<. This amount represents:   •  $500.00, representing the illegally collected sec","found in operative 'It is ordered that' section; explicit stated-total phrasing (""...is \$X"")"
LTB-T-089204-25,T1,Order,2026-05-05,M8X,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000yx3ydIAA/LTB-T-089204-25-HR - May 5 2026.pdf,text,[],[],,,,no dollar amount found
LTB-T-072033-25,T1,Order,2026-03-31,M1P,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000wh7syIAA/LTB-T-072033-25-HR.pdf,text,[1000.0],[],1000.0,claimed,"ancies Act,  2006 (the 'Act'). The Tenant testified that the Landlord collected >>>$1,000.00<<< as a damage  deposit on February 22, 2024. This is not a charge which is permit","no operative section found, or it had no dollar mentions at all; fell back to full-document search; only requested/testified amounts found, no confirmed award — verify manually; single candidate amount, no strong keyword match"
